1,1,1.7963,5.7963,-1,2,0
1,1,2.8379,9.8379,-20,1,0
1,1,2.077,6.077,-1,2,0
1,1,1.8964,5.8964,20,1,1
1,1,2.1206,6.1206,1,2,1
1,1,2.0883,6.0883,1,2,1
1,1,1.7088,5.7088,20,1,1
1,1,1.683,5.683,-1,2,0
1,1,2.5344,6.5344,20,1,1
1,1,2.9727,6.9727,1,2,1
1,1,1.2875,5.2875,20,1,1
1,2,1.4403,5.4403,20,1,1
1,2,2.6181,6.6181,20,1,1
1,2,2.5849,9.5849,-20,1,0
1,2,1.851,8.851,-20,1,0
1,2,2.1372,9.1372,-20,1,0
1,2,2.9226,9.9226,-20,1,0
1,2,2.241,6.241,-1,2,0
1,2,3.3181,7.3181,20,1,1
1,2,1.8698,8.8698,-20,1,0
1,3,2.7001,9.7001,-20,1,0
1,3,2.2373,6.2373,20,1,1
1,3,3.1266,7.1266,-1,2,0
1,3,1.7626,5.7626,20,1,1
1,3,2.0288,6.0288,1,2,1
1,3,1.2957,5.2957,20,1,1
1,3,3.4351,7.4351,1,2,1
1,3,2.4534,6.4534,20,1,1
1,3,1.1018,5.1018,1,2,1
1,3,1.3029,5.3029,20,1,1
1,3,1.0344,5.0344,20,1,1
1,4,0.99747,4.9975,-1,2,0
1,4,0.71033,4.7103,20,1,1
1,4,1.0531,5.0531,20,1,1
1,4,0.76068,4.7607,1,2,1
1,4,1.5009,5.5009,-1,2,0
1,4,0.94991,4.9499,20,1,1
1,4,0.77065,4.7707,20,1,1
1,4,1.6267,5.6267,1,2,1
1,4,0.8185,4.8185,20,1,1
1,4,0.79164,7.7916,-20,1,0
1,4,2.6624,6.6624,20,1,1
1,4,1.5504,5.5504,-1,2,0
1,4,1.0832,8.0832,-20,1,0
1,5,1.1266,5.1266,-1,2,0
1,5,0.69637,4.6964,20,1,1
1,5,1.4698,5.4698,20,1,1
1,5,0.80142,4.8014,-1,2,0
1,5,2.4695,9.4695,-20,1,0
1,5,1.0058,5.0058,1,2,1
1,5,1.2154,5.2154,1,2,1
1,5,0.79081,7.7908,-20,1,0
1,5,0.86754,4.8675,20,1,1
1,5,1.3229,5.3229,20,1,1
1,5,2.5124,6.5124,20,1,1
1,5,0.95301,4.953,20,1,1
1,6,1.1082,5.1082,-1,2,0
1,6,1.2499,5.2499,1,2,1
1,6,3.5918,7.5918,20,1,1
1,6,1.029,5.029,1,2,1
1,6,0.90551,4.9055,1,2,1
1,6,0.77421,4.7742,-1,2,0
1,6,0.95767,4.9577,-1,2,0
1,6,0.66249,4.6625,1,2,1
1,6,0.77893,7.7789,-20,1,0
1,6,0.91479,4.9148,20,1,1
1,6,0.66715,4.6672,20,1,1
1,6,0.68101,4.681,-1,2,0
1,6,0.70037,4.7004,1,2,1
1,7,0.65837,7.6584,-20,1,0
1,7,2.7849,6.7849,20,1,1
1,7,0.73029,4.7303,20,1,1
1,7,0.86701,7.867,-20,1,0
1,7,1.0924,5.0924,20,1,1
1,7,3.8203,7.8203,20,1,1
1,7,2.2434,6.2434,1,2,1
1,7,0.83273,4.8327,-1,2,0
1,7,1.3389,5.3389,-1,2,0
1,7,1.5598,5.5598,1,2,1
1,7,1.9132,5.9132,20,1,1
1,8,0.90644,4.9064,20,1,1
1,8,0.85061,4.8506,-1,2,0
1,8,0.83566,4.8357,20,1,1
1,8,1.4976,8.4976,-20,1,0
1,8,1.5581,5.5581,1,2,1
1,8,1.2182,5.2182,1,2,1
1,8,0.96291,4.9629,-1,2,0
1,8,1.6336,5.6336,-1,2,0
1,8,0.73031,4.7303,20,1,1
1,8,0.94886,4.9489,-1,2,0
1,8,0.81063,4.8106,20,1,1
1,8,0.80912,4.8091,1,2,1
1,8,0.70598,4.706,20,1,1
1,9,0.9629,4.9629,1,2,1
1,9,0.69376,7.6938,-20,1,0
1,9,0.69168,4.6917,-1,2,0
1,9,1.4574,5.4574,20,1,1
1,9,0.70893,4.7089,-1,2,0
1,9,0.66775,4.6677,1,2,1
1,9,0.61996,4.62,-1,2,0
1,9,2.9345,6.9345,20,1,1
1,9,1.1794,5.1794,20,1,1
1,9,0.71338,4.7134,20,1,1
1,9,1.2128,5.2128,20,1,1
1,9,0.80768,4.8077,-1,2,0
1,9,1.0833,5.0833,-1,2,0
1,9,1.9265,5.9265,20,1,1
1,10,0.8702,4.8702,20,1,1
1,10,0.87034,4.8703,20,1,1
1,10,0.69504,4.695,20,1,1
1,10,0.78435,4.7844,20,1,1
1,10,0.68535,4.6854,1,2,1
1,10,0.78823,4.7882,1,2,1
1,10,0.95774,4.9577,20,1,1
1,10,0.73322,4.7332,-1,2,0
1,10,1.0139,5.0139,20,1,1
1,10,1.2421,5.2421,20,1,1
1,10,0.88524,4.8852,1,2,1
1,10,1.0728,5.0728,-1,2,0
1,10,1.1291,5.1291,1,2,1
1,10,1.0539,5.0539,-1,2,0
1,10,1.0925,5.0925,-1,2,0
1,11,0.7895,4.7895,1,2,1
1,11,0.7269,4.7269,1,2,1
1,11,1.0876,5.0876,1,2,1
1,11,0.80873,4.8087,-1,2,0
1,11,0.93621,4.9362,1,2,1
1,11,2.8405,6.8405,20,1,1
1,11,0.8504,4.8504,20,1,1
1,11,0.74469,4.7447,20,1,1
1,11,0.78085,4.7808,20,1,1
1,11,0.67916,4.6792,-1,2,0
1,11,0.89092,4.8909,1,2,1
1,11,0.78651,7.7865,-20,1,0
1,11,2.59,6.59,20,1,1
1,12,1.177,5.177,20,1,1
1,12,0.75799,4.758,20,1,1
1,12,0.87816,4.8782,1,2,1
